"","Samp","MDS1","MDS2"
"1","1",-2.66785599710677,-1.23293142314199
"2","2",-5.13055514522664,-4.01975993263144
"3","3",-1.69180391723887,-5.42537068938151
"4","4",0.137631995838355,-6.77040985030062
"5","5",-6.30094422866625,-0.275972351266298
"6","6",-8.50082066099004,3.45888972300942
"7","7",-4.60336590796602,0.208463532111953
"8","8",2.66894804501748,-1.85201834110232
"9","9",0.473764715454517,-4.11704760556971
"10","10",-6.01963393761801,1.16774741984812
"11","11",-3.32625117316309,3.01158417034111
"12","12",5.28422509407665,-4.36670814258922
"13","13",3.00511051131876,-5.98124857993212
"14","14",5.08406894039661,3.83203152735638
"15","15",4.75179422231383,2.14941325749502
"16","16",9.5529650709548,0.133108499743958
"17","17",0.298842511765742,4.15232807579729
"18","18",-1.08156653716136,4.13209569310131
"19","19",0.450215475111157,7.83158661231973
"20","20",7.61523092288915,3.96421840479093
